Well	Well Name 	Target	Threshold (∆Rn)	Cq (∆Rn)	
D5  	1925910301	HEX   	0.06           	22.69   	
D5  	1925910301	CY5   	0.12           	24.84   	
D6  	1925910309	FAM   	0.06           	32.4    	
D6  	1925910309	HEX   	0.06           	22.83   	
D6  	1925910309	CY5   	0.12           	24.56   	
D7  	1925910317	FAM   	0.06           	33.47   	
D7  	1925910317	HEX   	0.06           	23.05   	
D7  	1925910317	CY5   	0.12           	24.82   	
D8  	1925910325	FAM   	0.06           	No Cq   	
D8  	1925910325	HEX   	0.06           	34.19   	
D8  	1925910325	CY5   	0.12           	36.5    	
D9  	1925910333	FAM   	0.06           	32.8    	
D9  	1925910333	HEX   	0.06           	23.68   	
D9  	1925910333	CY5   	0.12           	25.45   	
D10 	1925910341	FAM   	0.06           	33.38   	
D10 	1925910341	HEX   	0.06           	22.97   	
D10 	1925910341	CY5   	0.12           	24.76   	
D11 	1925910349	FAM   	0.06           	34.76   	
D11 	1925910349	HEX   	0.06           	23.91   	
D11 	1925910349	CY5   	0.12           	25.4    	
D12 	1925910357	FAM   	0.06           	33.64   	
D12 	1925910357	HEX   	0.06           	25.14   	
D12 	1925910357	CY5   	0.12           	26.97   	
